Country,2018,2019,2020,2021,2022,2023,2024,2025,Latitude,Longitude
Turkmenistan,0.98,1.44,1.97,2.37,3.5,4.45,5.35,6.61,37.9601,58.3261
Uganda,1.21,1.75,2.35,2.86,4.06,5.34,6.49,8.11,0.3476,32.5825
Ukraine,3.58,5.46,7.32,9.01,10.09,12.4,14.31,17.01,50.4501,30.5234
United Arab Emirates,14.19,18.44,23.01,27.02,37.8,46.89,55.9,66.37,24.4539,54.3773
United Kingdom,193.09,232.61,268.63,292.13,379.53,439.96,495.15,561.85,51.5074,-0.1278
United States,"1,398.27","1,647.11","1,855.81","1,965.96","2,487.69","2,814.01","3,095.45","3,469.68",38.9072,-77.0369
Uruguay,1.62,1.9,2.29,2.63,3.77,4.79,5.44,6.1,-34.9011,-56.1645
Uzbekistan,1.83,2.76,3.56,4.25,6.14,7.98,9.68,11.87,41.2995,69.2401
Vietnam,21.72,28.42,35.34,40.98,56.22,68.24,79.79,93.89,21.0285,105.8542
Zambia,0.7,0.91,1.09,1.36,2.06,2.45,2.75,3.34,-10.3399,28.2816
Zimbabwe,0.91,1.01,1.36,1.78,2.23,2.8,3.19,3.82,-17.8252,31.0335
